country,card_url,general,country_link,city,PM2.5,date,hour
Afghanistan,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Kabul,US Diplomatic Post: Kabul,Afghanistan,"Kabul,",,,
Afghanistan,https://openaq.org/#/location/Kabul,US Diplomatic Post: Kabul,Afghanistan,"Kabul,",23,4/26/2020,1:30
Algeria,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Algiers,US Diplomatic Post: Algiers,Algeria,"Algiers,",11.9,4/26/2020,2:00
Antigua and Barbuda,https://openaq.org/#/location/Algiers,Algiers,Antigua,"N/A,",21.1,3/17/2020,18:00
Argentina,https://openaq.org/#/location/SPARTAN%20-%20CITEDEF,SPARTAN - CITEDEF,"Aires,",Buenos,18.1,4/15/2015,2:00
Australia,https://openaq.org/#/location/CBD,CBD,Australia,"Adelaide,",4.9,4/26/2020,0:30
Australia,https://openaq.org/#/location/Elizabeth,Elizabeth,Australia,"Adelaide,",9,1/18/2020,19:30
Australia,https://openaq.org/#/location/Le%20Fevre%201,Le Fevre 1,Australia,"Adelaide,",1,4/26/2020,0:30
Australia,https://openaq.org/#/location/Le%20Fevre%202,Le Fevre 2,Australia,"Adelaide,",0,4/26/2020,0:30
Australia,https://openaq.org/#/location/Netley,Netley,Australia,"Adelaide,",5,4/26/2020,0:30
Australia,https://openaq.org/#/location/Bairnsdale,Bairnsdale,Australia,"Bairnsdale,",10.3,2/20/2020,1:00
Australia,https://openaq.org/#/location/Bright,Bright,Australia,"Bright,",6.9,2/20/2020,1:00
Australia,https://openaq.org/#/location/Campbellfield,Campbellfield,Australia,"Campbellfield,",6.1,4/24/2020,13:00
Australia,https://openaq.org/#/location/Civic,Civic,Australia,"Canberra,",9.17,4/25/2020,22:00
Australia,https://openaq.org/#/location/Florey,Florey,Australia,"Canberra,",12.84,4/25/2020,22:00
Australia,https://openaq.org/#/location/Monash,Monash,Australia,"Canberra,",9.47,4/25/2020,22:00
Australia,https://openaq.org/#/location/Cann%20River,Cann River,"River,",Cann,3.2,2/17/2020,2:00
Australia,https://openaq.org/#/location/Wyong,Wyong,"Coast,",Central,12.1,4/26/2020,2:00
Australia,https://openaq.org/#/location/Blackwater,Blackwater,"Queensland,",Central,4.8,4/26/2020,2:00
Austria,https://openaq.org/#/location/AT0ILL1,AT0ILL1,Austria,"Burgenland,",9.99,4/24/2020,12:00
Austria,https://openaq.org/#/location/AT10001,AT10001,Austria,"Burgenland,",7.63725,4/24/2020,12:00
Austria,https://openaq.org/#/location/AT2KA21,AT2KA21,Austria,"Kärnten,",11.635,4/24/2020,12:00
Austria,https://openaq.org/#/location/AT2KA71,AT2KA71,Austria,"Kärnten,",7.335,4/24/2020,12:00
Austria,https://openaq.org/#/location/AT2WO15,AT2WO15,Austria,"Kärnten,",14.645,4/24/2020,12:00
Austria,https://openaq.org/#/location/AT30104,AT30104,Austria,"Niederösterreich,",12.5,4/24/2020,12:00
Austria,https://openaq.org/#/location/AT30407,AT30407,Austria,"Niederösterreich,",16.5,4/24/2020,12:00
Austria,https://openaq.org/#/location/AT31413,AT31413,Austria,"Niederösterreich,",17.5,4/24/2020,11:00
Austria,https://openaq.org/#/location/AT31902,AT31902,Austria,"Niederösterreich,",17.5,4/24/2020,11:00
Austria,https://openaq.org/#/location/AT32301,AT32301,Austria,"Niederösterreich,",10,4/24/2020,12:00
Austria,https://openaq.org/#/location/AT32701,AT32701,Austria,"Niederösterreich,",21.5,4/24/2020,11:00
Austria,https://openaq.org/#/location/AT0ENK1,AT0ENK1,Austria,"Oberösterreich,",15.5,4/18/2020,13:00
Austria,https://openaq.org/#/location/AT0ZOE2,AT0ZOE2,Austria,"Oberösterreich,",9.25,4/24/2020,12:00
Austria,https://openaq.org/#/location/AT4S108,AT4S108,Austria,"Oberösterreich,",7.9230003,4/24/2020,12:00
Austria,https://openaq.org/#/location/AT4S125,AT4S125,Austria,"Oberösterreich,",7.9195,4/24/2020,12:00
Bahrain,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Manama,US Diplomatic Post: Manama,Bahrain,"Manama,",68,4/26/2020,2:00
